id_linea,id_venta,id_producto,nombre_producto_texto,cantidad,precio_unitario,monto_bruto,descuento,costo_unitario
1,1001,102,Chilero Criollo Lucho,2,3000,6000,600.0,1100
2,1002,108,Aderezo Cilantro-Limon,3,3000,9000,0.0,1380
3,1003,102,Chilero Criollo Lucho,2,3000,6000,600.0,1100
4,1004,102,chilero criollo lucho,2,3000,6000,600.0,1100
5,1005,101,SALSA PICANTE HABANERO LUCHO,8,3000,24000,2400.0,1150
6,1005,102,Chilero Criollo Lucho,6,2850,17100,1710.0,1100
7,1006,101,salsa picante habanero lucho ,4,3000,12000,0.0,1150
8,1007,101,Salsa Picante Habanero Lucho,2,3000,6000,0.0,1150
9,1007,108,Aderezo Cilantro-Limon,3,3000,9000,0.0,1380
10,1008,103,Salsa de Ajo Lucho,3,3000,9000,900.0,1250
11,1008,102,Chilero Criollo Lucho,3,3000,9000,900.0,1100
12,1009,106,Salsa Chipotle Dulce,6,3000,18000,0.0,1420
13,1009,102,Chilero Criollo Lucho,6,3000,18000,0.0,1100
14,1010,102,chilero criollo lucho,3,3000,9000,0.0,1100
15,1011,101,SALSA PICANTE HABANERO LUCHO,3,3000,9000,0.0,1150
16,1012,102,Chilero Criollo Lucho,3,3000,9000,900.0,1100
17,1013,101,Salsa Picante Habanero Lucho,2,3000,6000,0.0,1150
18,1014,102,chilero criollo lucho,6,3000,18000,0.0,1100
19,1015,101,Salsa Picante Habanero Lucho,2,3000,6000,0.0,1150
20,1016,101,Salsa Picante Habanero Lucho,2,3000,6000,0.0,1150
21,1017,103,Salsa de Ajo Lucho,8,3000,24000,0.0,1250
22,1018,106,Salsa Chipotle Dulce,3,3000,9000,0.0,1420
23,1019,101,Salsa Picante Habanero Lucho,4,3000,12000,0.0,1150
24,1020,103,Salsa de Ajo Lucho,4,3000,12000,1200.0,1250
25,1021,101,Salsa Picante Habanero Lucho,3,3000,9000,0.0,1150
26,1022,101,Salsa Picante Habanero Lucho,4,3000,12000,0.0,1150
27,1023,101,Salsa Picante Habanero Lucho,3,3000,9000,0.0,1150
28,1023,103,Salsa de Ajo Lucho,6,3000,18000,0.0,1250
29,1024,109,Salsa Inferno Carolina Reaper,4,3000,12000,1200.0,1650
30,1024,102,Chilero Criollo Lucho,3,3000,9000,900.0,1100
31,1025,101,SALSA PICANTE HABANERO LUCHO,6,3000,18000,1800.0,1150
32,1026,102,Chilero Criollo Lucho,8,3000,24000,0.0,1100
33,1027,102,Chilero Criollo Lucho,3,3000,9000,900.0,1100
34,1028,101,Salsa Picante Habanero Lucho,6,3000,18000,0.0,1150
35,1029,103,SALSA DE AJO LUCHO,6,3000,18000,1800.0,1250
36,1030,102,Chilero Criollo Lucho,3,3000,9000,0.0,1100
37,1031,101,salsa picante habanero lucho ,6,3000,18000,1800.0,1150
38,1031,103,SALSA DE AJO LUCHO,6,3000,18000,1800.0,1250
39,1032,102,Chilero Criollo Lucho,-1,3000,12000,0.0,1100
40,1032,101,Salsa Picante Habanero Lucho,4,3000,12000,0.0,1150
41,1033,104,Salsa Mango-Habanero,2,3000,6000,0.0,1500
42,1033,101,Salsa Picante Habanero Lucho,4,3000,12000,0.0,1150
43,1034,101,SALSA PICANTE HABANERO LUCHO,2,3000,6000,600.0,1150
44,1035,102,Chilero Criollo Lucho,4,3000,12000,1200.0,1100
45,1036,101,Salsa Picante Habanero Lucho,3,3000,9000,0.0,1150
46,1036,102,chilero criollo lucho,4,3000,12000,0.0,1100
47,1037,103,SALSA DE AJO LUCHO,3,3000,9000,900.0,1250
48,1037,102,Chilero Criollo  Lucho,4,3000,12000,1200.0,1100
49,1038,103,Salsa de Ajo Lucho,3,3000,9000,0.0,1250
50,1038,102,Chilero Criollo Lucho,4,3000,12000,0.0,1100
51,1039,102,Chilero Criollo Lucho,6,3000,18000,1800.0,1100
52,1039,103,Salsa de Ajo Lucho,3,3000,9000,900.0,1250
53,1040,102,Chilero Criollo Lucho,3,3000,9000,0.0,1100
54,1041,101,Salsa Picante Habanero Lucho,2,3000,6000,0.0,1150
55,1042,108,Aderezo Cilantro-Limon,3,3000,9000,900.0,1380
56,1043,103,salsa de ajo lucho,4,3000,12000,1200.0,1250
57,1043,102,Chilero Criollo Lucho,4,3000,12000,1200.0,1100
58,1043,105,Salsa BBQ Tamarindo,4,3000,12000,1200.0,1480
59,1044,101,Salsa Picante Habanero Lucho,3,3000,9000,0.0,1150
60,1044,109,Salsa Inferno Carolina Reaper,8,3150,25200,0.0,1650
61,1045,102,Chilero Criollo Lucho,4,3000,12000,1200.0,1100
62,1045,103,Salsa de Ajo Lucho,3,3000,9000,900.0,1250
63,1046,103,salsa de ajo lucho,9999,3000,9000,900.0,1250
64,1047,102,Chilero Criollo Lucho,2,3000,6000,0.0,1100
65,1048,101,Salsa Picante Habanero Lucho,4,3000,12000,0.0,1150
66,1049,101,Salsa Picante Habanero Lucho,8,3000,24000,0.0,1150
67,1050,103,Salsa de Ajo Lucho,4,3000,12000,0.0,1250
68,1050,101,Salsa Picante Habanero Lucho,3,3000,9000,0.0,1150
69,1051,101,Salsa Picante Habanero Lucho,2,3000,6000,0.0,1150
70,1052,101,Salsa Picante Habanero Lucho,3,3000,9000,0.0,1150
71,1053,102,Chilero Criollo Lucho,6,3000,18000,0.0,1100
72,1054,103,Salsa de Ajo Lucho,2,3000,6000,0.0,1250
73,1054,107,Salsa Verde Jalapeno,6,3000,18000,0.0,
74,1055,103,Salsa de Ajo Lucho,8,3000,24000,0.0,1250
75,1056,101,Salsa Picante Habanero Lucho,2,3000,6000,0.0,1150
76,1057,102,Chilero Criollo Lucho,3,3150,9450,0.0,1100
77,1058,101,SALSA PICANTE HABANERO LUCHO,3,3000,9000,900.0,1150
78,1059,103,Salsa de Ajo Lucho,2,3000,6000,0.0,1250
79,1059,104,Salsa Mango-Habanero,2,3000,6000,0.0,1500
80,1060,101,Salsa Picante Habanero Lucho,8,3000,24000,2400.0,1150
81,1060,102,Chilero Criollo Lucho,4,3000,12000,1200.0,1100
82,1061,102,Chilero Criollo Lucho,6,3000,18000,0.0,1100
83,1062,101,Salsa Picante Habanero Lucho,6,3000,18000,1800.0,1150
84,1063,107,Salsa Verde Jalapeno,4,3000,12000,0.0,1350
85,1064,102,Chilero Criollo Lucho,2,2850,5700,0.0,1100
