id_venta,fecha_venta,id_cliente,id_canal,canal_texto,id_vendedor,id_promocion,total_factura
1001,2024-01-03,62,3,Venta mayoreo,4,1,5400.0
1002,2024-01-25,96,3,Venta mayoreo,4,0,9000.0
1003,2024-01-29,23,3,MAYOREO,4,1,5400.0
1004,2024-01-18,86,3,Venta mayoreo,2,1,5400.0
1005,2024-01-11,12,3,Venta mayoreo,1,1,36990.0
1006,2024-01-07,12,3,,3,0,12000.0
1007,2024-01-25,38,3,mayoreo,1,0,15000.0
1008,2024-01-26,67,3,Venta mayoreo,4,1,16200.0
1009,2024-01-31,94,3,MAYOREO,3,0,36000.0
1010,2024-01-20,83,3,Venta mayoreo,2,0,9000.0
1011,2024-01-09,81,3,Venta mayoreo,4,0,9000.0
1012,2024-01-26,44,3,MAYOREO,4,1,8100.0
1013,2024-01-12,13,3,mayoreo,3,0,6000.0
1014,2024-01-07,32,3,MAYOREO,1,0,18000.0
1015,2024-01-01,32,3,MAYOREO,2,0,6000.0
1016,2024-01-10,41,3,Venta mayoreo,1,0,6000.0
1017,2024-01-21,41,3,Mayoreo,2,0,24000.0
1018,2024-01-08,30,3,Venta mayoreo,3,0,9000.0
1019,2024-01-04,27,3,mayoreo,2,0,12000.0
1020,2024-01-16,20,3,Venta mayoreo,1,1,10800.0
1021,2024-01-22,5,3,mayoreo,3,0,9000.0
1022,2024-01-27,7,3,Venta mayoreo,3,0,12000.0
1023,2024-01-14,33,3,Mayoreo,3,0,27000.0
1024,2024-01-19,33,3,Mayoreo,2,1,18900.0
1025,2024-01-15,99999,3,Mayoreo,4,1,16200.0
1026,2024-01-15,11,3,Venta mayoreo,4,0,24000.0
1027,2024-01-06,60,3,Mayoreo,4,1,8100.0
1028,2024-01-30,60,3,Venta mayoreo,2,0,18000.0
1029,2024-01-29,55,3,MAYOREO,3,1,16200.0
1030,2024-01-22,26,3,Venta mayoreo,4,0,9000.0
1031,2024-01-13,51,3,Venta mayoreo,2,1,32400.0
1032,2024-01-30,51,3,MAYOREO,3,0,24000.0
1033,2024-01-21,65,3,MAYOREO,2,0,18000.0
1034,2024-01-23,53,3,MAYOREO,3,1,5400.0
1035,2024-01-06,78,3,mayoreo,4,1,10800.0
1036,2024-01-15,88,3,Venta mayoreo,3,0,21000.0
1037,2024-01-23,2,3,Venta mayoreo,3,1,18900.0
1038,2024-01-05,15,3,MAYOREO,3,0,21000.0
1039,2024-01-06,56,3,Mayoreo,4,1,24300.0
